Index,MaxTheoreticalCapacity/mAhg,V_AI/Volt,V_DFT/Volt,SMILES
52,575.5380400758216,2.9009097,3.004349819176985,CC(C#N)C1=NC2=C(C1=O)C(=N)SN=C(O)S2
53,651.7313384338951,2.9064186,2.818663606718377,CC1=NC(N=C(N)C#N)=NC(=O)C(C)=NC1=N
54,424.7776672430716,3.0943477,2.9820862378073825,ClC1=C2C3=C4C(O1)=CC(=O)C4=NC3=NSC2=O
55,461.0210652812947,2.9063506,3.3981099927640543,CC1=NOC2=C(Br)C=C(C#N)C(=O)C2=NC1=O
56,443.1422995870645,2.9370632,2.864803506204679,CC1=C(Br)SC2=NC3=C(C(=N)C(=O)C3=N)C2=N1
57,401.45779761255824,2.9640079,3.1756192486661052,CC1=C2C(O)=NN3N=NC(C4=NC(=N)N=C14)=C23
58,507.2245439289797,2.914907,3.5111564139781435,CC1=CC2=NC3=C(SN=CS3)C(=O)C(=O)C2=N1
59,568.4040614420259,2.9830143,3.0127828406696233,CC1=NC2=C(C1=N)C(=O)C(=O)N=C(C=O)C2=N
60,437.5580929438669,2.9801893,4.101167759762461,CC(=O)C1=CC(=C2N=NOC(=N)N=C12)[N+]([O-])=O
61,243.65973741518005,2.9235466,3.292927341080221,BrC1=NOC2=C(OC(=N)N=C3N=CN=C23)C1=N
62,410.6663642681237,3.049871,3.6860235551756317,CC1=CN=C2N=C(C#N)C3=C2C1=C(C=O)C3=N
63,435.9564338399384,3.0181983,3.388321150598219,BrC1=NC2=C(NC(=NC(=O)S2)C#C)C(=O)C1=O
64,656.2818761373185,3.0724897,3.2764114834520215,CC1=C2C=NC(=N)C=NC(=O)N=C2C(=N1)C#N
65,530.7854975587087,2.9548097,2.9131462966683053,CC1=C2C=CNC(=O)C(=O)C(=O)SC(=N2)C1=O
66,196.1306522714073,3.0175703,3.1698974370468473,BrC1=NC(=O)N=C2C1=CC(Br)=C1N=CSN=C21
67,647.2582091545237,3.1239634,3.0429428633946216,CC1=NC2=NC(C=O)=NC2=CC(=O)C(=O)C=N1
68,642.8387947093012,3.5598955,3.195387666459265,CC1=NC2=NC(=O)C(=N)C(C=O)=C2C(=O)C1=O
69,710.4670833738778,2.9797783,2.9891281540151375,CC(N=C1C(=N)C(F)=NC(=O)C1=O)(C#N)C#N
70,240.7520637909004,2.921253,3.216037815943975,BrC1=NC2=C3N=CON=C3C(=O)N=C2C(=O)O1
71,427.4733203514805,2.9070024,2.9470667430164887,ClC1=NC2=C(C(=O)C(=N2)C#C)C2=C1SN=NN2
72,485.58918251963314,3.1591086,3.402456999031069,CCC(=O)C1=CC2=NOC3=NC(=O)C(=C23)C1=O
73,242.1995815279567,2.9916975,3.3166965109509996,BrC1=NON=C2C(=O)OC3=CN=C(C=O)C3=C12
74,523.1152330111016,3.0594132,4.023405515845648,ClC1=NC(=O)C2=C(N=CC(=O)SC2=C1)C#N
75,497.8219846925311,2.9247482,2.9576214433792694,CC1=CN=C2N=C3N=NSN=C3S(=O)(=O)C2=N1
76,352.6648216181016,3.0767548,2.854938917161115,BrC1=C(N2CCC3=C2NC=C3)S(=O)(=O)N=NS1
77,389.8174990523368,3.0207841,3.1005442680898176,CC(=O)C1=C2NN=NC(=O)N=C2C(=O)N=C1O
78,373.4236422125473,3.4698372,2.830467410992345,CC1=NC(O)=C2NC=C(OC(=N)C=C1)C(=O)S2
79,457.2946695180234,2.938708,2.9874182407792786,CC1=CC2=C(F)N=C(C#N)C3=NSN=NC1=C23
80,284.9730039624417,3.8508887,4.691369047962148,CCN=C1NN=C(S1)N=C1C=CN=NOC1=O
81,605.0602169708305,3.1393785,3.4645356658153754,ClC1=NSC2=NC3=NSC(=O)N=C3C2=C1C#N
82,245.1425386464859,3.0136144,3.2824699610441654,BrC1=C(C=O)C(=N)N=C2N=CN=C(C=O)N=C12
83,396.60786931363,2.9342992,4.739959214231878,BrC1=NC2=CC(=N)N=C(C=O)C=C2N=C1C#N
